                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4539,                 2.6254,                 1.4131,                0.00407,                0.96842,                0.40848,                0.21007,                 1.3679,                 3.4594,                 1.3818,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4928,                 2.1128,                 1.4708,                0.33998,                0.31263,                 0.2373,                0.10723,                 1.6603,                 3.3248,                 1.8828,              0.0012791,              0.0012791,              0.0012791
                      3,                 1.5608,                 1.8966,                 1.5117,                0.51196,                0.53684,                 0.5464,                0.30442,                 1.4573,                 3.7711,                 1.6604,              0.0018581,              0.0018581,              0.0018581
                      4,                 1.5242,                 1.7653,                 1.4908,                0.45348,                0.43895,                0.37143,                0.19147,                 1.6469,                 2.5069,                 1.7078,               0.001802,               0.001802,               0.001802
                      5,                 1.4995,                 1.6548,                 1.4966,                0.51079,                0.56603,                0.51038,                0.24932,                 1.5335,                  2.369,                 1.6607,               0.001736,               0.001736,               0.001736
                      6,                 1.4554,                 1.5537,                  1.466,                0.76217,                0.64842,                0.73962,                0.40765,                 1.4277,                 1.5494,                 1.4739,                0.00167,                0.00167,                0.00167
                      7,                 1.4414,                 1.5131,                 1.4323,                0.66674,                0.71181,                0.67243,                0.40516,                 1.2716,                 1.5906,                 1.3447,               0.001604,               0.001604,               0.001604
                      8,                 1.3869,                 1.3964,                 1.4006,                0.77947,                0.66526,                0.73996,                0.43496,                 1.2779,                 1.8431,                 1.3965,               0.001538,               0.001538,               0.001538
                      9,                 1.3774,                 1.3354,                 1.3964,                0.68441,                   0.64,                0.69878,                0.41424,                 1.3675,                 1.4157,                 1.4015,               0.001472,               0.001472,               0.001472
                     10,                  1.338,                 1.3052,                 1.3763,                 0.6248,                0.68947,                0.61857,                0.38346,                  1.254,                 1.4717,                  1.344,               0.001406,               0.001406,               0.001406
                     11,                 1.3033,                 1.2525,                 1.3468,                 0.6673,                0.73262,                0.75318,                0.46873,                  1.276,                 1.3204,                 1.3421,                0.00134,                0.00134,                0.00134
                     12,                 1.2548,                 1.1732,                 1.3173,                0.74914,                0.72737,                0.79714,                0.51502,                 1.1847,                 1.1804,                 1.2817,               0.001274,               0.001274,               0.001274
                     13,                  1.252,                 1.1617,                 1.3159,                0.81662,                 0.7125,                0.80281,                0.52418,                 1.1955,                 1.1924,                 1.3162,               0.001208,               0.001208,               0.001208
                     14,                 1.1902,                 1.1053,                 1.2882,                0.79582,                0.73849,                0.80529,                0.53834,                 1.1398,                 1.1717,                  1.264,               0.001142,               0.001142,               0.001142
                     15,                 1.1976,                 1.0986,                 1.2828,                  0.811,                0.71474,                0.79902,                 0.5442,                 1.1069,                   1.15,                 1.2372,               0.001076,               0.001076,               0.001076
                     16,                 1.1985,                 1.0784,                 1.2691,                0.81086,                0.74842,                0.80182,                0.51831,                 1.1845,                 1.1981,                  1.296,                0.00101,                0.00101,                0.00101
                     17,                  1.173,                 1.0669,                 1.2761,                0.74244,                0.75053,                0.80805,                0.53767,                 1.1533,                 1.1013,                 1.2498,               0.000944,               0.000944,               0.000944
                     18,                 1.1726,                 1.0321,                 1.2631,                 0.8283,                0.72618,                0.81622,                0.52489,                 1.2139,                 1.0906,                 1.2883,               0.000878,               0.000878,               0.000878
                     19,                 1.1475,                0.99863,                 1.2581,                0.81407,                 0.7374,                0.80958,                0.54703,                 1.1025,                 1.0755,                 1.2311,               0.000812,               0.000812,               0.000812
                     20,                 1.1204,                0.98758,                 1.2459,                0.86163,                0.77053,                0.84975,                0.58595,                 1.0776,                 1.0228,                 1.2056,               0.000746,               0.000746,               0.000746
                     21,                 1.0821,                0.88327,                   1.22,                0.80124,                0.78737,                0.83409,                0.55648,                 1.1179,                0.98076,                 1.2482,                0.00068,                0.00068,                0.00068
                     22,                 1.0178,                0.81938,                 1.1696,                0.78151,                0.80575,                0.84583,                0.59099,                 1.0455,                 0.9746,                 1.1729,               0.000614,               0.000614,               0.000614
                     23,                0.99196,                0.79374,                 1.1621,                0.85471,                0.74632,                0.85476,                0.59648,                 1.0408,                0.95332,                 1.2102,               0.000548,               0.000548,               0.000548
                     24,                0.98314,                0.75975,                 1.1565,                0.77595,                0.78744,                0.83769,                0.58313,                 1.0441,                 1.0047,                 1.1774,               0.000482,               0.000482,               0.000482
                     25,                0.94584,                0.75248,                 1.1329,                0.82418,                0.78211,                0.85565,                0.58365,                 1.0899,                 1.0111,                 1.2075,               0.000416,               0.000416,               0.000416
                     26,                0.94773,                0.72724,                 1.1272,                  0.814,                0.81684,                0.87894,                0.63434,                 1.0315,                0.87082,                 1.1811,                0.00035,                0.00035,                0.00035
                     27,                0.93013,                0.69148,                 1.1092,                0.83875,                0.80211,                0.88746,                0.62871,                  1.015,                0.85538,                 1.1586,               0.000284,               0.000284,               0.000284
                     28,                0.89673,                0.67463,                 1.0977,                0.84796,                0.78671,                0.87624,                 0.6294,                 1.0274,                0.87059,                  1.172,               0.000218,               0.000218,               0.000218
                     29,                0.89109,                0.64558,                 1.0964,                0.87379,                0.78709,                0.87853,                0.62925,                 1.0072,                0.86654,                 1.1635,               0.000152,               0.000152,               0.000152
                     30,                0.87239,                0.64634,                 1.0823,                0.84306,                0.77158,                0.87905,                0.63541,                 1.0022,                0.86021,                 1.1522,                8.6e-05,                8.6e-05,                8.6e-05
